ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species	Resolution	Taxonomy
ASV1	Fungi	Ascomycota	Lecanoromycetes	Undetermined	Undetermined	Undetermined	Undetermined	Class	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Undetermined;f__Undetermined;g__Undetermined;s__Undetermined
ASV2	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Leohumicola	Leohumicola minima	Species	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Leohumicola;s__Leohumicola minima
ASV3	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella elongata	Species	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella elongata
ASV4	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Undetermined	Undetermined	Undetermined	Order	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Undetermined;g__Undetermined;s__Undetermined
ASV5	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Undetermined	Undetermined	Undetermined	Order	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales;f__Undetermined;g__Undetermined;s__Undetermined
ASV6	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Leohumicola	Leohumicola Undetermined	Species	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Leohumicola;s__Leohumicola Undetermined
ASV7	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Undetermined	Undetermined	Family	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Undetermined;s__Undetermined
ASV8	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	Tetracladium Undetermined	Species	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiaceae;g__Tetracladium;s__Tetracladium Undetermined
ASV9	Fungi	Olpidiomycota	Olpidiomycetes	Olpidiales	Undetermined	Undetermined	Undetermined	Order	k__Fungi;p__Olpidiomycota;c__Olpidiomycetes;o__Olpidiales;f__Undetermined;g__Undetermined;s__Undetermined
ASV10	Fungi	Basidiomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined	Phylum	k__Fungi;p__Basidiomycota;c__Undetermined;o__Undetermined;f__Undetermined;g__Undetermined;s__Undetermined
ASV11	Fungi	Ascomycota	Sordariomycetes	Xylariales	Undetermined	Undetermined	Undetermined	Order	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Undetermined;g__Undetermined;s__Undetermined
ASV12	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella elongata	Species	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella elongata
ASV13	Fungi	Glomeromycota	Archaeosporomycetes	Archaeosporales	Ambisporaceae	Ambispora	Ambispora fennica	Species	k__Fungi;p__Glomeromycota;c__Archaeosporomycetes;o__Archaeosporales;f__Ambisporaceae;g__Ambispora;s__Ambispora fennica
ASV14	Fungi	Ascomycota	Sordariomycetes	Undetermined	Undetermined	Undetermined	Undetermined	Class	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Undetermined;f__Undetermined;g__Undetermined;s__Undetermined
ASV15	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Undetermined	Undetermined	Undetermined	Order	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Undetermined;g__Undetermined;s__Undetermined
ASV16	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Undetermined	Undetermined	Family	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Helotiales_fam_Incertae_sedis;g__Undetermined;s__Undetermined
ASV17	Fungi	Ascomycota	Eurotiomycetes	Undetermined	Undetermined	Undetermined	Undetermined	Class	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Undetermined;f__Undetermined;g__Undetermined;s__Undetermined
ASV18	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Undetermined	Undetermined	Undetermined	Order	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Undetermined;g__Undetermined;s__Undetermined
ASV19	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Cistella	Cistella albidolutea	Species	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Cistella;s__Cistella albidolutea
ASV20	Fungi	Ascomycota	Leotiomycetes	Helotiales	Hyaloscyphaceae	Cistella	Cistella Undetermined	Species	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Hyaloscyphaceae;g__Cistella;s__Cistella Undetermined
ASV21	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Undetermined	Undetermined	Undetermined	Order	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Undetermined;g__Undetermined;s__Undetermined
ASV22	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae	Undetermined	Undetermined	Family	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae;g__Undetermined;s__Undetermined
ASV23	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Zopfiella	Zopfiella marina	Species	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Chaetomiaceae;g__Zopfiella;s__Zopfiella marina
ASV24	Fungi	Ascomycota	Lecanoromycetes	Lecanorales	Undetermined	Undetermined	Undetermined	Order	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales;f__Undetermined;g__Undetermined;s__Undetermined
ASV25	Fungi	Ascomycota	Leotiomycetes	Helotiales	Leotiaceae	Neobulgaria	Neobulgaria Undetermined	Species	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Leotiaceae;g__Neobulgaria;s__Neobulgaria Undetermined
