Sample_Name	Depth	Fertilizer	AveDepth	CoarseFraction	bulk_density	Moisture 	TN	TC	C_density	N_density	DepthIncrement-cm	C_stock	N_stock	pH	EC	texture_clay	texture_silt	texture_sand	texture_sum
121-30	0-30	Control	15	0.003	1.26	24.89	0.13	1.28	16	1.7	30	4.8	0.5	7.7	99.4	41.7	39	14.7	95.5
121-40	30-40	Control	35	0	1.36	24.62	0.13	1.01	13.7	1.8	10	1.37	0.18	7.1	42.8	47	42.8	11.9	101.7
121-50	40-50	Control	40	0	1.31	27.02	0.12	0.92	12	1.6	10	1.2	0.16	7.2	35.5	46	43.3	13.6	102.9
121-70	50-70	Control	60	0	1.37	24.13	0.09	0.67	9.2	1.2	20	1.84	0.25	7.3	28.6	44.3	44.3	14.1	102.7
121-100	70-100	Control	85	0	1.31	26.56	0.07	0.42	5.6	0.9	30	1.67	0.26	7.2	60.2	42.8	38.8	22.3	103.9
122-30	0-30	Control	15	0.003	1.22	24.18	0.13	1.15	14.1	1.6	30	4.22	0.48	7.6	81.3	40.8	45.8	12.7	99.3
122-40	30-40	Control	35	0	1.31	27.87	0.14	1.06	13.8	1.8	10	1.38	0.18	7.3	38.5	49.1	42.3	12.5	103.9
122-50	40-50	Control	40	0	1.3	25.58	0.12	0.94	12.2	1.6	10	1.22	0.16	7.2	25.1	43.9	45.4	14.7	104
122-70	50-70	Control	60	0	1.44	23.02	0.09	0.66	9.6	1.2	20	1.92	0.25	7.2	31.5	47.1	43.2	14.8	105.2
122-100	70-100	Control	85	0	1.4	25.25	0.06	0.41	5.8	0.9	30	1.74	0.26	7.3	44.3	45.6	39.9	19.1	104.6
123-30	0-30	Control	15	0	1.2	25.29	0.13	0.97	11.7	1.5	30	3.5	0.46	7.6	64.3	42.6	41.4	14	97.9
123-40	30-40	Control	35	0.024	1.41	24.79	0.14	1.28	17.6	1.9	10	1.76	0.19	7.3	39	44.7	45.8	9.3	99.9
123-50	40-50	Control	40	0	1.41	23.10	0.13	0.94	13.2	1.8	10	1.32	0.18	7.2	32.2	47.5	43.2	11.7	102.3
123-70	50-70	Control	60	0	1.34	23.80	0.12	0.84	11.3	1.5	20	2.26	0.31	7.4	37	45	42.7	12.2	99.9
123-100	70-100	Control	85	0.015	1.3	23.94	0.1	0.76	9.7	1.3	30	2.91	0.4	7.5	29.7	47.5	43.8	10.7	102.1
124-30	0-30	Control	15	0.002	1.25	26.94	0.13	1.2	14.9	1.6	30	4.46	0.48	7.6	81.7	42.7	42.6	13.1	98.4
124-40	30-40	Control	35	0.002	1.4	24.61	0.11	0.9	12.6	1.6	10	1.26	0.16	7.2	41.6	43.3	43.7	13.7	100.6
124-50	40-50	Control	40	0	1.36	24.23	0.11	0.84	11.5	1.5	10	1.15	0.15	7.1	30.7	43.6	45.3	12.9	101.8
124-70	50-70	Control	60	0	1.36	24.90	0.1	0.79	10.7	1.4	20	2.14	0.27	7.2	24.8	42.5	47.7	10.8	101
124-100	70-100	Control	85	0.14	1.18	28.50	0.1	0.77	7.8	1	30	2.35	0.3	7.3	44.7	46.2	41.5	11.7	99.5
221-30	0-30	PK	15	0.009	1.27	25.20	0.13	1.22	15.4	1.7	30	4.63	0.51	7.5	41.5	40.6	40.6	15.7	96.9
221-40	30-40	PK	35	0.007	1.51	23.46	0.13	1.08	16.1	1.9	10	1.61	0.19	7.2	28.2	43.8	44.2	11.3	99.3
221-50	40-50	PK	40	0	1.44	27.10	0.13	0.98	14.1	1.8	10	1.41	0.18	7.2	27.8	44.2	40.8	17.6	102.6
221-70	50-70	PK	60	0	1.51	23.19	0.09	0.68	10.2	1.3	20	2.04	0.27	7.3	21.7	45.2	40.3	15.7	101.1
221-100	70-100	PK	85	0	1.38	27.02	0.07	0.43	5.9	0.9	30	1.78	0.27	7.3	40	47.3	39.9	18.3	105.5
222-30	0-30	PK	15	0.004	1.22	24.98	0.13	1.15	13.9	1.6	30	4.18	0.49	7.3	84.5	41.5	43.2	13.8	98.5
222-40	30-40	PK	35	0	1.26	26.22	0.14	1.02	12.8	1.8	10	1.28	0.18	7.2	35.9	50.2	44.6	2.4	97.2
222-50	40-50	PK	40	0	1.29	28.69	0.13	0.94	12.1	1.7	10	1.21	0.17	7.2	46.1	45.1	41.3	15.5	102
222-70	50-70	PK	60	0.001	1.36	25.17	0.1	0.77	10.4	1.4	20	2.09	0.27	7.1	35.8	43.8	38.5	21.9	104.2
222-100	70-100	PK	85	0	1.32	24.30	0.08	0.56	7.4	1	30	2.23	0.31	7.2	43.7	47.9	38.9	15.5	102.4
223-30	0-30	PK	15	0.001	1.23	25.31	0.14	1.17	14.4	1.7	30	4.32	0.5	7.4	66.2	41.3	39.1	18.4	98.9
223-40	30-40	PK	35	0	1.31	25.95	0.14	1.08	14.2	1.8	10	1.42	0.18	7.3	42.1	45.7	45.2	8.7	99.6
223-50	40-50	PK	40	0	1.32	24.17	0.13	0.97	12.8	1.7	10	1.28	0.17	7.3	38.5	48.5	41.4	14.3	104.2
223-70	50-70	PK	60	0	1.36	25.14	0.1	0.78	10.6	1.4	20	2.13	0.28	7.2	38.6	48.2	42.1	12.2	102.4
223-100	70-100	PK	85	0	1.43	25.59	0.08	0.61	8.6	1.2	30	2.59	0.35	7.2	51.8	50.9	40.6	9.8	101.3
224-30	0-30	PK	15	0.003	1.23	27.30	0.14	1.21	14.8	1.7	30	4.45	0.51	7.3	76.6	41.1	45.2	10	96.3
224-40	30-40	PK	35	0	1.33	29.10	0.14	1.08	14.4	1.9	10	1.44	0.19	7.2	45.4	48.3	41.8	11.4	101.5
224-50	40-50	PK	40	0.001	1.37	27.07	0.13	0.96	13.2	1.7	10	1.32	0.17	7.1	45.9	44.5	38.5	21.7	104.7
224-70	50-70	PK	60	0	1.49	23.96	0.09	0.68	10.1	1.3	20	2.01	0.26	7.3	33.1	44.5	41.1	16.9	102.5
224-100	70-100	PK	85	0	1.48	24.84	0.06	0.39	5.7	0.9	30	1.71	0.26	7.2	54.3	46.2	39.9	18.4	104.5
321-30	0-30	NP	15	0.014	1.31	24.58	0.14	1.22	15.8	1.8	30	4.75	0.55	7.4	123	41.5	40.8	17.4	99.8
321-40	30-40	NP	35	0	1.54	25.68	0.13	0.94	14.5	2	10	1.45	0.2	7.3	42.8	45.9	43.7	11.9	101.6
321-50	40-50	NP	40	0	1.47	24.62	0.12	0.88	13	1.7	10	1.3	0.17	7.2	26.1	46.2	39.9	19.5	105.7
321-70	50-70	NP	60	0	1.48	23.41	0.09	0.64	9.5	1.3	20	1.89	0.25	7.5	28.6	42.4	41.4	20.8	104.6
321-100	70-100	NP	85	0	1.32	28.66	0.07	0.42	5.5	0.9	30	1.65	0.26	7.6	50.8	43.1	37.1	30.9	111.2
322-30	0-30	NP	15	0.001	1.33	24.80	0.14	1.23	16.3	1.9	30	4.89	0.57	7.3	81.8	39.6	40.5	17.5	97.6
322-40	30-40	NP	35	0	1.27	28.12	0.14	1.05	13.3	1.8	10	1.33	0.18	7.2	40.1	47.8	43.4	11.9	103.1
322-50	40-50	NP	40	0	1.45	25.93	0.13	0.96	14	1.9	10	1.4	0.19	7	41.8	49.1	43.1	10.4	102.6
