	Kingdom	Phylum	Class	Order	Family	Genus	Species	Resolution	Guild
ASV1	Fungi	Ascomycota	Lecanoromycetes	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Class	NA
ASV2	Fungi	Ascomycota	Leotiomycetes	Helotiales	HelotialesfamIncertaesedis	Leohumicola	Leohumicola minima	Species	NA
ASV3	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella elongata	Species	Saprotroph
ASV4	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV5	Fungi	Ascomycota	Eurotiomycetes	Onygenales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV6	Fungi	Ascomycota	Leotiomycetes	Helotiales	HelotialesfamIncertaesedis	Leohumicola	Leohumicola Undetermined	Species	Saprotroph
ASV7	Fungi	Ascomycota	Leotiomycetes	Helotiales	HelotialesfamIncertaesedis	Undetermined	Undetermined Undetermined	Family	NA
ASV8	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Tetracladium	Tetracladium Undetermined	Species	Pathotroph
ASV9	Fungi	Olpidiomycota	Olpidiomycetes	Olpidiales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV10	Fungi	Basidiomycota	Undetermined	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Phylum	NA
ASV11	Fungi	Ascomycota	Sordariomycetes	Xylariales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV12	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	Mortierella elongata	Species	Saprotroph
ASV13	Fungi	Glomeromycota	Archaeosporomycetes	Archaeosporales	Ambisporaceae	Ambispora	Ambispora fennica	Species	Arbuscular Mycorrhizal
ASV14	Fungi	Ascomycota	Sordariomycetes	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Class	NA
ASV15	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Undetermined	Undetermined	Undetermined Undetermined	Order	NA
ASV16	Fungi	Ascomycota	Leotiomycetes	Helotiales	HelotialesfamIncertaesedis	Undetermined	Undetermined Undetermined	Family	NA
ASV17	Fungi	Ascomycota	Eurotiomycetes	Undetermined	Undetermined	Undetermined	Undetermined Undetermined	Class	NA
