Sample_Name	Depth	Fertilizer	Depth_range	Group
121-100	100	Control	70-100	Subsoil
121-30	30	Control	0-30	Topsoil
121-40	40	Control	30-40	Subsoil
121-50	50	Control	40-50	Subsoil
121-70	70	Control	50-70	Subsoil
122-100	100	Control	70-100	Subsoil
122-30	30	Control	0-30	Topsoil
122-40	40	Control	30-40	Subsoil
122-50	50	Control	40-50	Subsoil
122-70	70	Control	50-70	Subsoil
123-100	100	Control	70-100	Subsoil
123-30	30	Control	0-30	Topsoil
123-40	40	Control	30-40	Subsoil
123-50	50	Control	40-50	Subsoil
123-70	70	Control	50-70	Subsoil
124-100	100	Control	70-100	Subsoil
124-30	30	Control	0-30	Topsoil
124-40	40	Control	30-40	Subsoil
124-50	50	Control	40-50	Subsoil
124-70	70	Control	50-70	Subsoil
221-100	100	PK	70-100	Subsoil
221-30	30	PK	0-30	Topsoil
221-40	40	PK	30-40	Subsoil
221-50	50	PK	40-50	Subsoil
221-70	70	PK	50-70	Subsoil
222-100	100	PK	70-100	Subsoil
222-30	30	PK	0-30	Topsoil
222-40	40	PK	30-40	Subsoil
222-50	50	PK	40-50	Subsoil
222-70	70	PK	50-70	Subsoil
223-100	100	PK	70-100	Subsoil
223-30	30	PK	0-30	Topsoil
223-40	40	PK	30-40	Subsoil
223-50	50	PK	40-50	Subsoil
223-70	70	PK	50-70	Subsoil
224-100	100	PK	70-100	Subsoil
224-30	30	PK	0-30	Topsoil
224-40	40	PK	30-40	Subsoil
224-50	50	PK	40-50	Subsoil
224-70	70	PK	50-70	Subsoil
321-100	100	NP	70-100	Subsoil
321-30	30	NP	0-30	Topsoil
321-40	40	NP	30-40	Subsoil
321-50	50	NP	40-50	Subsoil
321-70	70	NP	50-70	Subsoil
322-100	100	NP	70-100	Subsoil
322-30	30	NP	0-30	Topsoil
322-40	40	NP	30-40	Subsoil
322-50	50	NP	40-50	Subsoil
322-70	70	NP	50-70	Subsoil
323-100	100	NP	70-100	Subsoil
323-30	30	NP	0-30	Topsoil
323-40	40	NP	30-40	Subsoil
323-50	50	NP	40-50	Subsoil
323-70	70	NP	50-70	Subsoil
324-100	100	NP	70-100	Subsoil
324-30	30	NP	0-30	Topsoil
324-40	40	NP	30-40	Subsoil
324-50	50	NP	40-50	Subsoil
324-70	70	NP	50-70	Subsoil
421-100	100	NK	70-100	Subsoil
421-30	30	NK	0-30	Topsoil
421-40	40	NK	30-40	Subsoil
421-50	50	NK	40-50	Subsoil
421-70	70	NK	50-70	Subsoil
422-100	100	NK	70-100	Subsoil
422-30	30	NK	0-30	Topsoil
422-40	40	NK	30-40	Subsoil
422-50	50	NK	40-50	Subsoil
422-70	70	NK	50-70	Subsoil
423-100	100	NK	70-100	Subsoil
423-30	30	NK	0-30	Topsoil
423-40	40	NK	30-40	Subsoil
423-50	50	NK	40-50	Subsoil
423-70	70	NK	50-70	Subsoil
424-100	100	NK	70-100	Subsoil
424-30	30	NK	0-30	Topsoil
424-40	40	NK	30-40	Subsoil
424-50	50	NK	40-50	Subsoil
424-70	70	NK	50-70	Subsoil
521-100	100	NPK	70-100	Subsoil
521-30	30	NPK	0-30	Topsoil
521-40	40	NPK	30-40	Subsoil
521-50	50	NPK	40-50	Subsoil
521-70	70	NPK	50-70	Subsoil
522-100	100	NPK	70-100	Subsoil
522-30	30	NPK	0-30	Topsoil
522-40	40	NPK	30-40	Subsoil
522-50	50	NPK	40-50	Subsoil
522-70	70	NPK	50-70	Subsoil
523-100	100	NPK	70-100	Subsoil
523-30	30	NPK	0-30	Topsoil
523-40	40	NPK	30-40	Subsoil
523-50	50	NPK	40-50	Subsoil
523-70	70	NPK	50-70	Subsoil
524-100	100	NPK	70-100	Subsoil
524-30	30	NPK	0-30	Topsoil
524-40	40	NPK	30-40	Subsoil
524-50	50	NPK	40-50	Subsoil
524-70	70	NPK	50-70	Subsoil
